subj_id,round_index,block,block_order,select_robot,human_speed_ms,robot_speed_ms,robot_errors_setting,steps_to_complete,round_total_time_ms,round_total_effort,round_total_errors,n_pushes,n_corrections,correction_time_ms,trial,prev_choice_robot,trial_in_block,post_switch,block_switch
1,1,1,"[1, 2]",0,8000,6000,6,4,34113,4,0,4,0,,1,,1,1,0
1,2,1,"[1, 2]",1,8000,6000,6,4,38742,6,1,0,6,2210.0,2,0.0,2,0,0
1,3,1,"[1, 2]",1,8000,6000,6,4,34840,6,1,0,6,997.0,3,1.0,3,0,0
1,4,1,"[1, 2]",0,8000,6000,6,4,35016,4,0,4,0,,4,1.0,4,0,0
1,5,1,"[1, 2]",1,8000,6000,6,4,40250,6,1,0,6,3283.0,5,0.0,5,0,0
1,6,1,"[1, 2]",1,8000,6000,6,4,35967,6,1,0,6,1107.0,6,1.0,6,0,0
1,7,1,"[1, 2]",1,8000,6000,6,4,38738,6,1,0,6,953.0,7,1.0,7,0,0
1,8,1,"[1, 2]",1,8000,6000,6,4,35356,6,1,0,6,553.0,8,1.0,8,0,1
1,9,2,"[1, 2]",0,2000,2000,2,12,30462,12,0,12,0,,9,1.0,1,1,0
1,10,2,"[1, 2]",1,2000,2000,2,12,28483,2,1,0,2,1640.0,10,0.0,2,0,0
1,11,2,"[1, 2]",1,2000,2000,2,12,29338,2,1,0,2,660.0,11,1.0,3,0,0
1,12,2,"[1, 2]",0,2000,2000,2,12,31356,12,0,12,0,,12,1.0,4,0,0
1,13,2,"[1, 2]",1,2000,2000,2,12,27951,2,1,0,2,789.0,13,0.0,5,0,0
1,14,2,"[1, 2]",1,2000,2000,2,12,28430,2,1,0,2,912.0,14,1.0,6,0,0
1,15,2,"[1, 2]",1,2000,2000,2,12,30653,2,1,0,2,2325.0,15,1.0,7,0,0
1,16,2,"[1, 2]",1,2000,2000,2,12,28263,2,1,0,2,1302.0,16,1.0,8,0,1
2,1,1,"[1, 2]",1,8000,6000,6,4,36087,6,1,0,6,822.0,1,,1,1,0
2,2,1,"[1, 2]",0,8000,6000,6,4,34304,4,0,4,0,,2,1.0,2,0,0
2,3,1,"[1, 2]",0,8000,6000,6,4,34448,4,0,4,0,,3,0.0,3,0,0
2,4,1,"[1, 2]",1,8000,6000,6,4,32819,6,1,0,6,1377.0,4,0.0,4,0,0
2,5,1,"[1, 2]",0,8000,6000,6,4,33861,4,0,4,0,,5,1.0,5,0,0
2,6,1,"[1, 2]",0,8000,6000,6,4,34808,4,0,4,0,,6,0.0,6,0,0
2,7,1,"[1, 2]",0,8000,6000,6,4,33772,4,0,4,0,,7,0.0,7,0,0
2,8,1,"[1, 2]",0,8000,6000,6,4,34463,4,0,4,0,,8,0.0,8,0,1
2,9,2,"[1, 2]",0,2000,2000,2,12,30460,12,0,12,0,,9,0.0,1,1,0
2,10,2,"[1, 2]",1,2000,2000,2,12,29535,2,1,0,2,2594.0,10,0.0,2,0,0
2,11,2,"[1, 2]",1,2000,2000,2,12,29431,2,1,0,2,910.0,11,1.0,3,0,0
2,12,2,"[1, 2]",1,2000,2000,2,12,28592,2,1,0,2,1027.0,12,1.0,4,0,0
2,13,2,"[1, 2]",1,2000,2000,2,12,29259,2,1,0,2,1067.0,13,1.0,5,0,0
2,14,2,"[1, 2]",1,2000,2000,2,12,27975,2,1,0,2,1194.0,14,1.0,6,0,0
2,15,2,"[1, 2]",1,2000,2000,2,12,29589,2,1,0,2,1319.0,15,1.0,7,0,0
2,16,2,"[1, 2]",1,2000,2000,2,12,32884,2,1,0,2,3331.0,16,1.0,8,0,1
3,1,2,"[2, 1]",1,2000,2000,2,12,29405,2,1,0,2,1697.0,1,,1,1,0
3,2,2,"[2, 1]",1,2000,2000,2,12,28944,2,1,0,2,1355.0,2,1.0,2,0,0
3,3,2,"[2, 1]",1,2000,2000,2,12,33880,2,1,0,2,4715.0,3,1.0,3,0,0
3,4,2,"[2, 1]",1,2000,2000,2,12,28658,2,1,0,2,1578.0,4,1.0,4,0,0
3,5,2,"[2, 1]",0,2000,2000,2,12,30661,12,0,12,0,,5,1.0,5,0,0
3,6,2,"[2, 1]",1,2000,2000,2,12,29125,2,1,0,2,1441.0,6,0.0,6,0,0
3,7,2,"[2, 1]",1,2000,2000,2,12,28375,2,1,0,2,1072.0,7,1.0,7,0,0
3,8,2,"[2, 1]",1,2000,2000,2,12,32595,2,1,0,2,5423.0,8,1.0,8,0,1
3,9,1,"[2, 1]",1,8000,6000,6,4,40435,6,1,0,6,1614.0,9,1.0,1,1,0
3,10,1,"[2, 1]",0,8000,6000,6,4,34787,4,0,4,0,,10,1.0,2,0,0
3,11,1,"[2, 1]",0,8000,6000,6,4,37114,4,0,4,0,,11,0.0,3,0,0
3,12,1,"[2, 1]",0,8000,6000,6,4,34728,4,0,4,0,,12,0.0,4,0,0
3,13,1,"[2, 1]",0,8000,6000,6,4,35301,4,0,4,0,,13,0.0,5,0,0
