subj_id,round_index,block,block_order,select_robot,human_speed_ms,robot_speed_ms,robot_errors_setting,steps_to_complete,round_total_time_ms,round_total_effort,round_total_errors,n_pushes,n_corrections,correction_time_ms,trial,prev_choice_robot,trial_in_block,post_switch,block_switch
1,1,1,"[1, 2]",1,3000,1000,6,12,25611,6,1,0,6,1202.0,1,,1,1,0
1,2,1,"[1, 2]",0,3000,1000,6,12,51365,12,0,12,0,,2,1.0,2,0,0
1,3,1,"[1, 2]",1,3000,1000,6,12,29041,6,1,0,6,1966.0,3,0.0,3,0,0
1,4,1,"[1, 2]",1,3000,1000,6,12,26531,6,1,0,6,1216.0,4,1.0,4,0,0
1,5,1,"[1, 2]",1,3000,1000,6,12,26500,6,1,0,6,1116.0,5,1.0,5,0,0
1,6,1,"[1, 2]",1,3000,1000,6,12,24780,6,1,0,6,1215.0,6,1.0,6,0,0
1,7,1,"[1, 2]",1,3000,1000,6,12,25867,6,1,0,6,1212.0,7,1.0,7,0,0
1,8,1,"[1, 2]",1,3000,1000,6,12,25131,6,1,0,6,2018.0,8,1.0,8,0,1
1,9,2,"[1, 2]",1,1000,3000,6,12,48402,6,1,0,6,1186.0,9,1.0,1,1,0
1,10,2,"[1, 2]",0,1000,3000,6,12,23419,12,0,12,0,,10,1.0,2,0,0
1,11,2,"[1, 2]",1,1000,3000,6,12,52806,6,1,0,6,1644.0,11,0.0,3,0,0
1,12,2,"[1, 2]",0,1000,3000,6,12,24426,12,0,12,0,,12,1.0,4,0,0
1,13,2,"[1, 2]",0,1000,3000,6,12,23901,12,0,12,0,,13,0.0,5,0,0
1,14,2,"[1, 2]",0,1000,3000,6,12,25660,12,0,12,0,,14,0.0,6,0,0
1,15,2,"[1, 2]",0,1000,3000,6,12,25434,12,0,12,0,,15,0.0,7,0,0
1,16,2,"[1, 2]",0,1000,3000,6,12,23699,12,0,12,0,,16,0.0,8,0,1
2,1,2,"[2, 1]",0,1000,3000,6,12,15100,12,0,12,0,,1,,1,1,0
2,2,2,"[2, 1]",1,1000,3000,6,12,45832,6,1,0,6,527.0,2,0.0,2,0,0
2,3,2,"[2, 1]",0,1000,3000,6,12,17401,12,0,12,0,,3,1.0,3,0,0
2,4,2,"[2, 1]",0,1000,3000,6,12,15099,12,0,12,0,,4,0.0,4,0,0
2,5,2,"[2, 1]",0,1000,3000,6,12,15701,12,0,12,0,,5,0.0,5,0,0
2,6,2,"[2, 1]",0,1000,3000,6,12,15686,12,0,12,0,,6,0.0,6,0,0
2,7,2,"[2, 1]",0,1000,3000,6,12,15787,12,0,12,0,,7,0.0,7,0,0
2,8,2,"[2, 1]",0,1000,3000,6,12,15617,12,0,12,0,,8,0.0,8,0,1
