condition_pair,first_condition,second_condition,choice_number,n_participants,n_choices,n_choose_ai,p_choose_ai,se_choose_ai,pair_label
optimal|full_suboptimal,optimal,full_suboptimal,1,26,26,16,0.6153846153846154,0.09541133429939111,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,2,26,26,19,0.7307692307692307,0.08698929247330862,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,3,26,26,21,0.8076923076923077,0.07729201466043273,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,4,26,26,18,0.6923076923076923,0.09051513929454648,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,5,26,26,18,0.6923076923076923,0.09051513929454648,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,6,26,26,20,0.7692307692307693,0.08262863931224225,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,7,26,26,16,0.6153846153846154,0.09541133429939111,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,8,26,26,16,0.6153846153846154,0.09541133429939111,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,9,26,26,20,0.7692307692307693,0.08262863931224225,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,10,26,26,12,0.46153846153846156,0.09776752450803732,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,11,26,26,12,0.46153846153846156,0.09776752450803732,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,12,26,26,13,0.5,0.09805806756909202,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,13,26,26,10,0.38461538461538464,0.09541133429939112,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,14,26,26,8,0.3076923076923077,0.09051513929454648,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,15,26,26,8,0.3076923076923077,0.09051513929454648,Optimal -> Full Suboptimal
optimal|full_suboptimal,optimal,full_suboptimal,16,26,26,9,0.34615384615384615,0.09330087000722768,Optimal -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,1,25,25,11,0.44,0.09927738916792686,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,2,25,25,13,0.52,0.09991996797437437,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,3,25,25,10,0.4,0.09797958971132711,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,4,25,25,10,0.4,0.09797958971132711,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,5,25,25,8,0.32,0.0932952303175248,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,6,25,25,10,0.4,0.09797958971132711,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,7,25,25,8,0.32,0.0932952303175248,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,8,25,25,5,0.2,0.08,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,9,25,25,12,0.48,0.09991996797437437,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,10,25,25,6,0.24,0.0854166260162505,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,11,25,25,6,0.24,0.0854166260162505,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,12,25,25,5,0.2,0.08,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,13,25,25,6,0.24,0.0854166260162505,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,14,25,25,7,0.28,0.0897997772825746,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,15,25,25,3,0.12,0.06499230723708768,Time Penalty -> Full Suboptimal
time_penalty|full_suboptimal,time_penalty,full_suboptimal,16,25,25,2,0.08,0.054258639865002144,Time Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,1,26,26,13,0.5,0.09805806756909202,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,2,26,26,12,0.46153846153846156,0.09776752450803732,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,3,26,26,13,0.5,0.09805806756909202,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,4,26,26,12,0.46153846153846156,0.09776752450803732,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,5,26,26,14,0.5384615384615384,0.09776752450803732,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,6,26,26,7,0.2692307692307692,0.08698929247330862,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,7,26,26,8,0.3076923076923077,0.09051513929454648,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,8,26,26,10,0.38461538461538464,0.09541133429939112,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,9,26,26,14,0.5384615384615384,0.09776752450803732,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,10,26,26,8,0.3076923076923077,0.09051513929454648,Effort Penalty -> Full Suboptimal
effort_penalty|full_suboptimal,effort_penalty,full_suboptimal,11,26,26,7,0.2692307692307692,0.08698929247330862,Effort Penalty -> Full Suboptimal
